               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.018992,           0.0080932,           0.0016501,             0.96694,             0.94847,             0.97467,             0.75281,            0.018399,           0.0082655,           0.0012406,            0.003664,            0.003664,            0.003664
                  66,            0.018832,           0.0080745,           0.0015597,             0.96517,             0.94951,             0.97435,              0.7557,            0.018342,           0.0083034,           0.0012004,            0.003565,            0.003565,            0.003565
                  67,            0.018523,           0.0079859,           0.0016145,              0.9659,             0.94957,             0.97442,             0.75661,            0.018316,           0.0082791,           0.0012246,            0.003466,            0.003466,            0.003466
                  68,            0.018731,           0.0078417,           0.0016758,             0.95988,             0.95375,             0.97345,             0.75549,            0.018347,           0.0083071,           0.0012005,            0.003367,            0.003367,            0.003367
                  69,            0.018563,           0.0079506,           0.0015219,             0.96547,             0.94908,             0.97465,             0.75682,            0.018312,           0.0082951,           0.0011963,            0.003268,            0.003268,            0.003268
                  70,            0.018479,           0.0079021,           0.0015843,             0.96578,             0.94853,             0.97553,             0.75738,            0.018303,           0.0082823,           0.0012284,            0.003169,            0.003169,            0.003169
                  71,            0.018543,           0.0079614,           0.0015679,              0.9656,             0.94507,              0.9742,             0.75886,            0.018314,            0.008243,           0.0011866,             0.00307,             0.00307,             0.00307
                  72,            0.018415,            0.007918,           0.0015608,             0.96685,             0.94833,             0.97402,             0.75593,            0.018392,           0.0082883,           0.0012134,            0.002971,            0.002971,            0.002971
                  73,            0.018368,            0.007854,           0.0017421,              0.9638,             0.94979,             0.97428,             0.75964,            0.018212,           0.0082588,           0.0011891,            0.002872,            0.002872,            0.002872
                  74,            0.018255,           0.0078669,           0.0015216,             0.96345,              0.9471,              0.9731,             0.75806,            0.018173,           0.0082621,           0.0011997,            0.002773,            0.002773,            0.002773
                  75,            0.018161,           0.0077638,           0.0014763,              0.9623,             0.95151,             0.97494,             0.75818,            0.018281,           0.0082276,           0.0012255,            0.002674,            0.002674,            0.002674
                  76,            0.018099,           0.0077536,           0.0015957,             0.96141,             0.95502,             0.97455,             0.75969,            0.018182,           0.0082157,              0.0012,            0.002575,            0.002575,            0.002575
                  77,            0.018143,           0.0077533,             0.00152,             0.96349,             0.95126,             0.97421,             0.76014,            0.018261,           0.0082222,           0.0011749,            0.002476,            0.002476,            0.002476
                  78,            0.017939,           0.0078483,            0.001417,              0.9652,              0.9513,             0.97358,             0.75837,            0.018231,           0.0082276,            0.001183,            0.002377,            0.002377,            0.002377
                  79,            0.017849,           0.0075714,           0.0013752,             0.96436,             0.95258,              0.9731,             0.75959,             0.01834,           0.0082219,           0.0011955,            0.002278,            0.002278,            0.002278
                  80,            0.017925,           0.0076956,           0.0015906,             0.96392,             0.95389,             0.97219,             0.75779,            0.018365,           0.0082523,           0.0012129,            0.002179,            0.002179,            0.002179
                  81,            0.018049,           0.0076341,            0.001481,             0.96427,             0.95227,              0.9745,             0.75851,            0.018387,           0.0082811,           0.0012411,             0.00208,             0.00208,             0.00208
                  82,            0.017703,           0.0077806,           0.0014019,             0.96628,             0.94757,             0.97433,             0.75875,            0.018302,            0.008229,           0.0012257,            0.001981,            0.001981,            0.001981
                  83,            0.017876,           0.0076509,           0.0015581,             0.96481,             0.94989,             0.97516,             0.75867,            0.018288,            0.008223,           0.0011906,            0.001882,            0.001882,            0.001882
